Identificador,IdAplicacion,IdSolicitud,IdDecision,ScoreEvaluado,CantidadExcepciones,FechaEvaluacion,IdPolitica,tipoProducto,producto,montoFinanciar,plazo,mensualidad,tasa,region,nivelEndeudamiento,capacidadDescuento,edad,totalIngresos,totalOtrosIngresos,sexo,idOcupacion
3565952,WFPP,455239,AP,595,0,2025-02-01 08:07:59.897,13,0,0,4999.49,82,93.24,8.25,01,58.15126424501425,43.63693019943021,54.96,2246.4,0,1,120
3565951,WFPP,455221,RV,705,1,2025-02-01 08:07:56.403,43,0,3,22570.59,158,308.0,9.5,01,51.22697795071336,0.025940337224383825,40.34,1542.0,0,0,4
3565950,WFPA,455212,RV,601,1,2025-01-31 19:37:06.117,112,1,3,12800.0,84,224.27,7.75,01,45.764406899310536,8.613431536343743,36.38,849.94,0,0,38
3565949,WFPA,455285,RV,534,0,2025-01-31 19:16:29.630,100,1,3,22045.5,96,356.16,7.75,01,17.631975867269986,19.651583710407238,38.08,2320.5,0,1,108
3565948,WFPA,455285,RV,534,0,2025-01-31 19:16:22.047,100,1,3,22045.5,96,344.37,7.75,01,17.123895712131006,20.159663865546214,38.08,2320.5,0,1,108
3565947,WFPA,455285,RV,534,0,2025-01-31 19:13:44.170,100,1,3,24745.5,96,396.36,7.75,01,19.36436112906701,17.919198448610214,38.08,2320.5,0,1,108
3565946,WFPA,455304,AP,806,0,2025-01-31 18:56:11.753,137,1,3,25178.0,90,397.54,6.75,02,33.9740625,0.0,43.72,3200.0,0,1,99
3565945,WFPA,455304,AP,806,0,2025-01-31 18:49:52.190,137,1,3,25178.0,90,397.54,6.75,02,33.9740625,0.0,43.72,3200.0,0,1,99
3565944,WFPA,454912,RV,569,3,2025-01-31 17:05:32.247,100,1,3,12139.2,96,199.3,9.0,01,57.88733333333333,8.550666666666668,34.14,1500.0,0,0,0
3565943,WFPA,455072,RV,753,1,2025-01-31 17:02:38.580,104,1,0,25900.0,108,361.86,6.75,01,30.628666666666668,22.938,32.28,3000.0,0,0,33
3565942,WFPA,455355,RV,548,3,2025-01-31 17:01:48.207,100,1,3,20691.0,96,329.22,7.75,01,59.96404636778775,12.324416097859999,41.42,1035.26,0,0,81
3565941,WFPA,455072,RV,753,1,2025-01-31 17:01:40.140,104,1,0,25900.0,96,392.69,6.75,01,31.656333333333333,21.910333333333334,32.28,3000.0,0,0,33
3565940,WFPA,455072,RV,753,1,2025-01-31 17:01:36.817,104,1,0,25900.0,96,392.69,6.75,01,31.656333333333333,21.910333333333334,32.28,3000.0,0,0,33
3565939,WFPA,455072,RV,753,1,2025-01-31 17:01:33.887,104,1,0,25900.0,96,388.72,6.75,01,31.524,22.042666666666666,32.28,3000.0,0,0,33
3565938,WFPA,455072,RV,753,1,2025-01-31 17:01:26.757,104,1,0,25900.0,96,386.11,6.75,01,31.437,22.129666666666665,32.28,3000.0,0,0,33
3565937,WFPA,455072,AP,753,0,2025-01-31 17:01:09.500,104,1,0,21320.0,48,551.65,7.0,01,36.955000000000005,16.611666666666668,32.28,3000.0,0,0,33
3565936,WFPA,454433,RV,542,2,2025-01-31 17:01:03.027,100,1,3,13769.15,96,223.43,7.5,02,44.34933498778549,13.340571561518477,43.38,1031.56,0,1,137
3565935,WFPA,455355,RV,548,2,2025-01-31 17:00:36.007,100,1,3,20691.0,96,329.22,7.75,01,45.84432490512236,12.324416097859999,41.42,1035.26,0,0,81
3565934,WFPA,455355,RV,548,2,2025-01-31 16:59:23.090,100,1,3,20691.0,96,309.73,6.75,01,44.50191821581822,13.666822787164136,41.42,1035.26,0,0,81
3565933,WFPA,455355,RV,548,3,2025-01-31 16:59:14.183,100,1,3,20691.0,96,309.73,6.75,01,59.40614517828732,13.666822787164136,41.42,1035.26,0,0,81
3565932,WFPA,455355,RV,548,3,2025-01-31 16:59:03.463,100,1,3,20691.0,96,309.73,6.75,01,59.40614517828732,13.666822787164136,41.42,1035.26,0,0,81
3565931,WFPA,455355,RV,548,2,2025-01-31 16:58:57.443,100,1,3,13794.0,96,208.27,6.75,01,52.41791620461888,20.655051760832578,41.42,1035.26,0,0,81
3565930,WFPA,455355,RV,548,2,2025-01-31 16:58:50.093,100,1,3,13794.0,96,208.27,6.75,01,52.41791620461888,20.655051760832578,41.42,1035.26,0,0,81
3565929,WFPA,454523,RV,636,1,2025-01-31 16:57:00.470,100,1,3,17990.0,96,286.77,7.75,01,58.19368421052631,4.8136842105263185,35.54,950.0,0,1,4
3565928,WFPP,451935,AP,597,0,2025-01-31 16:55:21.110,16,0,2,8669.0,336,76.7,7.25,01,61.657246578665976,4.692418951737729,52.12,2225.74,0,1,113
3565927,WFPA,455355,RV,548,3,2025-01-31 16:54:45.010,100,1,3,20691.0,96,309.73,6.75,01,59.40614517828732,13.666822787164136,41.42,1035.26,0,0,81
3565926,WFPA,455355,RV,548,3,2025-01-31 16:52:53.433,100,1,3,20691.0,96,309.73,6.75,01,60.24980091370133,13.363859899129604,41.42,1035.26,0,0,81
3565925,WFPA,455355,RV,548,3,2025-01-31 16:51:05.290,100,1,3,20691.0,96,309.73,6.75,01,83.31240461333385,5.081911790274905,41.42,1035.26,0,0,81
3565924,WFPA,455355,RV,0,0,2025-01-31 16:50:37.897,100,1,3,20691.0,96,309.73,6.75,01,29.918088209725095,5.081911790274905,41.42,1035.26,0,0,81
3565923,WFPP,455354,RV,0,1,2025-01-31 16:48:57.600,45,0,3,8506.59,92,160.0,11.0,03,20.0,0.0,29.58,800.0,0,1,40
3565922,WFPP,455354,RV,0,1,2025-01-31 16:48:43.513,45,0,3,8506.59,92,160.0,11.0,03,20.0,0.0,29.58,800.0,0,1,40
3565921,WFPP,455354,RV,0,1,2025-01-31 16:47:45.603,45,0,3,8506.59,92,160.0,11.0,03,20.0,0.0,29.58,800.0,0,1,40
3565920,WFPA,454836,RV,571,0,2025-01-31 16:46:19.800,152,1,0,13679.1,96,209.92,7.0,02,13.861543257105613,23.102808240528212,35.78,1764.45,0,0,1
3565919,WFPA,454836,RV,571,0,2025-01-31 16:46:07.413,152,1,0,13679.1,96,218.04,7.0,02,14.321743319447986,22.64260817818584,35.78,1764.45,0,0,1
3565918,WFPA,454836,RV,571,0,2025-01-31 16:45:55.243,152,1,0,13679.1,96,218.19,7.0,02,14.330244552126725,22.6341069455071,35.78,1764.45,0,0,1
3565917,WFPA,454836,RV,571,0,2025-01-31 16:45:45.260,152,1,0,13679.1,96,210.07,7.0,02,13.870044489784352,23.094307007849473,35.78,1764.45,0,0,1
3565916,WFPP,453949,AP,633,0,2025-01-31 16:44:41.827,45,0,3,10915.3,92,205.6,11.0,01,40.37062256809339,0.0,25.79,1028.0,0,0,25
3565915,WFPP,453949,AP,633,0,2025-01-31 16:44:34.620,45,0,3,10915.3,92,205.6,11.0,01,40.37062256809339,0.0,25.79,1028.0,0,0,25
3565914,WFPA,454836,RV,0,1,2025-01-31 16:43:47.787,152,1,0,16559.1,105,230.76,7.0,02,13.078296352971181,21.92170364702882,35.78,1764.45,0,0,1
3565913,WFPA,455337,RV,717,1,2025-01-31 16:43:06.850,139,1,0,16800.0,90,272.74,7.0,01,66.06584955539533,0.0,54.9,1955.67,0,0,80
3565912,WFPA,455330,AP,608,0,2025-01-31 16:43:03.933,112,1,3,10995.0,84,196.36,8.0,01,35.10259500949056,7.7946575778987786,25.24,721.77,0,1,13
3565911,WFPA,455337,RV,717,1,2025-01-31 16:43:00.813,139,1,0,16800.0,90,270.0,7.0,01,65.92574411838397,0.0,54.9,1955.67,0,0,80
3565910,WFPA,455330,AP,608,0,2025-01-31 16:43:00.377,112,1,3,10995.0,84,194.41,8.0,01,34.83242584202724,8.064826745362101,25.24,721.77,0,1,13
3565909,WFPA,455337,RV,717,1,2025-01-31 16:42:53.030,139,1,0,16800.0,90,268.09,7.0,01,65.8280793794454,0.0,54.9,1955.67,0,0,80
3565908,WFPA,455337,RV,717,1,2025-01-31 16:42:51.530,139,1,0,16800.0,90,268.09,7.0,01,65.8280793794454,0.0,54.9,1955.67,0,0,80
3565907,WFPA,455330,AP,608,0,2025-01-31 16:41:18.473,112,1,3,10995.0,72,217.44,8.0,01,38.02319298391454,4.8740596034747945,25.24,721.77,0,1,13
3565906,WFPA,455330,AP,608,0,2025-01-31 16:40:45.900,112,1,3,11495.0,72,229.29,8.0,01,39.66499023234548,3.2322623550438543,25.24,721.77,0,1,13
3565905,WFPA,455330,AP,608,0,2025-01-31 16:40:22.123,112,1,3,11495.0,72,229.29,8.0,01,39.66499023234548,3.2322623550438543,25.24,721.77,0,1,13
3565904,WFPP,453949,AP,633,0,2025-01-31 16:40:12.700,45,0,3,10915.3,92,205.6,11.0,01,40.37062256809339,0.0,25.79,1028.0,0,0,25
3565903,WFPP,453420,RE,570,1,2025-01-31 16:37:47.443,10,0,0,4088.19,240,40.0,7.5,02,59.56320428427982,-0.37543233292424105,36.27,1792.6,0,0,2
3565902,WFPA,454433,RV,542,2,2025-01-31 16:37:40.173,100,1,3,13769.15,96,223.43,7.5,02,44.34933498778549,13.340571561518477,43.38,1031.56,0,1,137
3565901,WFPA,455346,RV,729,1,2025-01-31 16:37:36.993,100,1,3,15050.0,96,247.86,7.5,01,94.96404322847616,10.105459804748701,38.13,860.4,0,1,154
3565900,WFPA,455346,RV,729,1,2025-01-31 16:37:28.287,100,1,3,15050.0,96,232.98,7.5,01,93.46952713832309,11.599975894901775,38.13,860.4,0,1,154
3565899,WFPA,455346,RV,729,1,2025-01-31 16:36:30.423,100,1,3,19350.0,96,297.97,7.5,01,99.99698686272147,5.072516170503391,38.13,860.4,0,1,154
3565898,WFPA,455346,RV,729,1,2025-01-31 16:36:19.410,100,1,3,19350.0,96,297.97,7.5,01,99.99698686272147,5.072516170503391,38.13,860.4,0,1,154
3565897,WFPA,455346,RV,729,1,2025-01-31 16:35:33.247,100,1,3,19350.0,96,297.97,7.5,01,94.10329034590816,5.072516170503391,38.13,860.4,0,1,154
3565896,WFPA,455346,RV,729,2,2025-01-31 16:35:28.740,100,1,3,19350.0,96,297.97,7.5,01,100.0,-13.910248684263394,38.13,860.4,0,1,154
3565895,WFPA,455346,RV,729,2,2025-01-31 16:35:27.303,100,1,3,19350.0,96,297.97,7.5,01,100.0,-13.910248684263394,38.13,860.4,0,1,154
3565894,WFPA,455346,RV,0,1,2025-01-31 16:33:05.480,100,1,3,19350.0,96,297.97,7.5,01,34.63156671315668,0.3684332868433273,38.13,860.4,0,1,154
3565893,WFPA,455345,RV,642,2,2025-01-31 16:31:56.633,108,1,2,29600.0,105,399.6,6.25,01,16.265644555694617,27.185544430538172,57.62,2000.0,0,0,113
3565892,WFPP,455052,AP,666,0,2025-01-31 16:31:39.490,32,0,0,11575.01,133,164.0,8.5,01,28.467332820906993,22.39431206764028,34.54,1301.0,0,0,138
3565891,WFPA,455337,AP,717,0,2025-01-31 16:31:19.770,139,1,0,7940.86,84,139.62,7.0,01,59.25897518497496,0.0,54.9,1955.67,0,0,80
3565890,WFPA,455337,AP,717,0,2025-01-31 16:31:13.327,139,1,0,7940.86,84,138.25,7.0,01,59.188922466469286,0.0,54.9,1955.67,0,0,80
3565889,WFPA,455337,RV,717,1,2025-01-31 16:30:10.830,139,1,0,12752.69,84,220.54,7.0,01,63.39668758021547,0.0,54.9,1955.67,0,0,80
3565888,WFPA,455345,RV,0,1,2025-01-31 16:29:58.723,108,1,2,29600.0,105,399.6,6.25,01,19.98,15.02,57.62,2000.0,0,0,113
3565887,WFPA,455337,RV,717,1,2025-01-31 16:29:41.203,139,1,0,12752.69,84,220.54,7.0,01,63.39668758021547,0.0,54.9,1955.67,0,0,80
3565886,WFPA,455337,RV,717,1,2025-01-31 16:29:35.807,139,1,0,12752.69,84,218.34,7.0,01,63.284194163637004,0.0,54.9,1955.67,0,0,80
3565885,WFPA,454734,RV,676,1,2025-01-31 16:29:21.220,112,1,3,21598.0,84,372.97,7.5,02,65.91857142857143,17.23952380952381,49.38,2100.0,0,0,149
3565884,WFPA,455337,RV,717,1,2025-01-31 16:29:07.867,139,1,0,12752.69,90,207.74,7.0,01,62.74218042921351,0.0,54.9,1955.67,0,0,80
3565883,WFPA,455337,RV,717,1,2025-01-31 16:29:05.993,139,1,0,12752.69,90,207.74,7.0,01,62.74218042921351,0.0,54.9,1955.67,0,0,80
